Entidad,Municipio,Subdelegacion,Clues,Tipo,Nombre,Nivel,Situacion,Latitud,Longitud,Tipo Vialidad,Vialidad,Numero,Tipo Asentamiento,Asentamiento,CP,Direccion Completa,Nombre Completo
Ciudad de México,Gustavo A. Madero,Ciudad de México Zona Norte,DFIST000085,Clínica de Medicina Familiar,Aragón,Primer Nivel,Propia,19.4781,-99.1106,Calle,Moctezuma,S/N,Colonia,Aragón La Villa,7000,"Calle Moctezuma S/N, Colonia Aragón La Villa, Gustavo A. Madero, Ciudad de México, CP. 7000",CMF Aragón
Ciudad de México,Gustavo A. Madero,Ciudad de México Zona Norte,DFIST000645,Consultorio Médico en Centro de Trabajo,No. 61 SAGARPA,Primer Nivel,Convenio,19.4664,-99.0808,Avenida,José Loreto Fabela,S/N,Colonia,San Juan De Aragón,7919,"Avenida José Loreto Fabela S/N, Colonia San Juan De Aragón, Gustavo A. Madero, Ciudad de México, CP. 7919",CMCT No. 61 SAGARPA
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000370,Clínica de Medicina Familiar,Guadalupe,Primer Nivel,Propia,19.4606,-99.1269,Calzada,Guadalupe,S/N,Colonia,Ex-Hipódromo De Peralvillo,6250,"Calzada Guadalupe S/N, Colonia Ex-Hipódromo De Peralvillo, Cuauhtémoc, Ciudad de México, CP. 6250",CMF Guadalupe
Ciudad de México,Gustavo A. Madero,Ciudad de México Zona Norte,DFIST000102,Clínica de Especialidades con Quirófano,Centro de Cirugía Ambulatoria 1º de Octubre,Segundo Nivel,Propia,19.4867,-99.1339,Avenida,Instituto Politécnico Nacional,S/N,Colonia,Magdalena De Las Salinas,7760,"Avenida Instituto Politécnico Nacional S/N, Colonia Magdalena De Las Salinas, Gustavo A. Madero, Ciudad de México, CP. 7760",CEQ Centro de Cirugía Ambulatoria 1º de Octubre
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000481,Clínica de Especialidades,Centro de Apoyo Diagnóstico San Rafael,Segundo Nivel,Propia,19.4358,-99.1634,Calle,Ignacio Manuel Altamirano,S/N,Colonia,San Rafael,6470,"Calle Ignacio Manuel Altamirano S/N, Colonia San Rafael, Cuauhtémoc, Ciudad de México, CP. 6470",CE Centro de Apoyo Diagnóstico San Rafael
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000341,Clínica de Especialidades,Indianilla,Segundo Nivel,Propia,19.4219,-99.1491,Calle,Dr. Claudio Bernard,S/N,Colonia,Doctores,6720,"Calle Dr. Claudio Bernard S/N, Colonia Doctores, Cuauhtémoc, Ciudad de México, CP. 6720",CE Indianilla
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000382,Clínica de Medicina Familiar,Cinco de Febrero,Primer Nivel,Propia,19.4247,-99.1356,Calle,Cinco de Febrero,S/N,Colonia,Centro,6080,"Calle Cinco de Febrero S/N, Colonia Centro, Cuauhtémoc, Ciudad de México, CP. 6080",CMF Cinco de Febrero
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000394,Clínica de Medicina Familiar,Juárez,Primer Nivel,Propia,19.4107,-99.1592,Calle,Jalapa,S/N,Colonia,Roma Sur,6760,"Calle Jalapa S/N, Colonia Roma Sur, Cuauhtémoc, Ciudad de México, CP. 6760",CMF Juárez
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000785,Consultorio Médico en Centro de Trabajo,No. 9 Junta de Conciliación y Arbitraje,Primer Nivel,Convenio,19.4249,-99.1453,Avenida,Dr. Río de la Loza,S/N,Colonia,Doctores,6720,"Avenida Dr. Río de la Loza S/N, Colonia Doctores, Cuauhtémoc, Ciudad de México, CP. 6720",CMCT No. 9 Junta de Conciliación y Arbitraje
Ciudad de México,Cuauhtémoc,Ciudad de México Zona Norte,DFIST000790,Consultorio Médico en Centro de Trabajo,No. 19 SEGOB,Primer Nivel,Convenio,19.4308,-99.1531,Avenida,Bucareli,S/N,Colonia,Juárez,6600,"Avenida Bucareli S/N, Colonia Juárez, Cuauhtémoc, Ciudad de México, CP. 6600",CMCT No. 19 SEGOB
